Desk,Trader,Book,Positions,NV
HK,T2511509,HK00,655.000,718535.00
HK,T2511509,HK02,1860.000,1638752.84
HK,T2511509,HK03,1704.000,2022396.88
HK,T2511509,HK04,891.000,1007556.81
HK,T6908885,HK20,371.000,221580.41
HK,T8406272,HK13,654.000,736750.19
HK,T8406272,HK14,583.000,618676.06
LON,T6092561,LON13,878.000,684324.25
LON,T6092561,LON14,121.000,72267.46
LON,T8262384,LON20,634.000,712997.31
LON,T8262384,LON22,986.000,608396.50
LON,T8262384,LON23,211.000,110813.12
LON,T8262384,LON24,534.000,560818.69
LON,T9992394,LON02,2467.000,2558818.09
NY,T1784214,NY00,139.000,192793.00
NY,T1784214,NY01,231.000,329175.00
NY,T1784214,NY02,1615.000,1725497.00
NY,T1784214,NY04,220.000,290840.00
NY,T3530032,NY11,950.000,1140774.12
NY,T3530032,NY13,802.000,421194.91
NY,T4893648,NY20,319.000,383059.94
NY,T4893648,NY23,368.000,331200.00
NY,T6044270,NY40,630.000,873810.00
NY,T6044270,NY41,1276.000,1386996.94
NY,T6044270,NY42,965.000,1058605.00
NY,T6044270,NY44,648.000,502848.00
NY,T7598783,NY31,211.000,240807.98
NY,T7598783,NY33,556.000,557112.00
NY,T7598783,NY34,859.000,773100.00
NY,T7598783,NY35,567.000,441926.94
SG,T4811904,SG10,224.000,297096.56
SG,T4811904,SG13,558.000,553441.62
SG,T4811904,SG14,1222.000,1626550.44
SG,T6120150,SG21,327.000,364083.27
SG,T6120150,SG22,999.000,1324997.62
SG,T7006564,SG00,362.000,521593.91
SG,T7006564,SG03,440.000,342941.53
SYD,T6669183,SYD11,967.000,942626.00
SYD,T6669183,SYD13,836.000,1684326.38
TOK,T1100503,TOK21,1062.000,1243433.50
TOK,T1100503,TOK22,1174.000,972217.09
TOK,T1100503,TOK23,284.000,284568.00
TOK,T1100503,TOK24,1732.000,1898560.75
TOK,T5299896,TOK00,437.000,606119.00
TOK,T5299896,TOK01,938.000,991236.31
TOK,T5299896,TOK02,448.000,491456.00
TOK,T6583742,TOK10,238.000,208263.27
TOK,T6583742,TOK12,773.000,1113790.25
TOK,T8546671,TOK30,968.000,823768.00
