Desk,Trader,Book,BondID,Positions,NV
HK,T2511509,HK00,B17624,655,1386641.38
HK,T2511509,HK02,B06888,709,706513.12
HK,T2511509,HK02,B41888,739,924092.81
HK,T2511509,HK02,B46897,412,503793.09
HK,T2511509,HK03,B20873,841,830869.75
HK,T2511509,HK03,B33825,863,987272.00
HK,T2511509,HK04,B14632,436,551414.12
HK,T2511509,HK04,B29832,455,459326.78
HK,T2511509,HK04,B43626,124,146728.64
HK,T6908885,HK20,B33456,371,397924.28
HK,T8406272,HK13,B14632,283,357913.31
HK,T8406272,HK13,B26229,371,241521.00
HK,T8406272,HK14,B29512,421,569743.81
HK,T8406272,HK14,B33825,162,185328.00
LON,T6092561,LON13,B28599,878,729373.62
LON,T6092561,LON14,B33456,121,129781.23
LON,T8262384,LON20,B14632,634,801827.00
LON,T8262384,LON22,B41888,986,1232957.38
LON,T8262384,LON23,B26431,211,146558.58
LON,T8262384,LON24,B20873,534,527567.75
LON,T8262384,LON25,B14632,607,767679.81
LON,T9992394,LON02,B05627,629,735301.00
LON,T9992394,LON02,B14632,839,1061092.88
LON,T9992394,LON02,B26431,875,607766.62
LON,T9992394,LON02,B41686,963,664985.00
NY,T1784214,NY00,B05627,139,162491.00
NY,T1784214,NY00,B33456,657,704679.94
NY,T1784214,NY01,B47923,231,188265.00
NY,T1784214,NY02,B15481,398,338698.00
NY,T1784214,NY02,B17624,987,2089488.62
NY,T1784214,NY02,B46897,618,755689.62
NY,T1784214,NY04,B46897,220,269015.72
NY,T3530032,NY11,B12794,950,1166700.75
NY,T3530032,NY11,B41686,227,156751.39
NY,T3530032,NY13,B26431,802,557061.50
NY,T3530032,NY13,B35604,789,562681.38
NY,T4893648,NY20,B12794,319,391765.84
NY,T4893648,NY23,B06888,368,366709.22
NY,T4893648,NY23,B07010,207,234738.00
NY,T6044270,NY40,B05627,237,277053.00
NY,T6044270,NY41,B28599,550,456896.91
NY,T6044270,NY41,B33825,726,830544.00
NY,T6044270,NY42,B06800,617,907535.12
NY,T6044270,NY42,B06888,147,146484.39
NY,T6044270,NY42,B17624,965,2042914.38
NY,T6044270,NY44,B33152,648,620136.00
NY,T7598783,NY31,B47374,211,320298.00
NY,T7598783,NY33,B00520,556,343626.88
NY,T7598783,NY34,B06888,859,855987.00
NY,T7598783,NY35,B28599,567,471019.19
SG,T4811904,SG10,B07010,224,254016.00
SG,T4811904,SG13,B14954,116,108493.70
SG,T4811904,SG13,B29512,442,598163.31
SG,T4811904,SG14,B02116,663,600168.81
SG,T4811904,SG14,B12794,559,686511.31
SG,T6120150,SG20,B33152,420,401940.00
SG,T6120150,SG21,B14632,119,150500.66
SG,T6120150,SG21,B14954,208,194540.44
SG,T6120150,SG22,B07010,999,1132866.00
SG,T7006564,SG00,B02116,362,327693.97
SG,T7006564,SG02,B33152,955,913935.00
SG,T7006564,SG03,B28599,440,365517.53
SYD,T6669183,SYD11,B15481,684,582084.00
SYD,T6669183,SYD11,B41686,283,195421.34
SYD,T6669183,SYD13,B31426,836,1411979.62
TOK,T1100503,TOK21,B00520,480,296656.31
TOK,T1100503,TOK21,B06888,226,225207.28
TOK,T1100503,TOK21,B35604,836,596199.81
TOK,T1100503,TOK22,B26229,485,315735.00
TOK,T1100503,TOK22,B29832,155,156473.97
TOK,T1100503,TOK22,B41888,689,861569.62
TOK,T1100503,TOK23,B00520,284,175521.64
TOK,T1100503,TOK23,B41686,806,556571.00
TOK,T1100503,TOK24,B20873,858,847665.00
TOK,T1100503,TOK24,B47374,874,1326732.00
TOK,T5299896,TOK00,B05627,437,510853.00
TOK,T5299896,TOK01,B17624,131,277328.28
TOK,T5299896,TOK01,B20873,807,797279.31
TOK,T5299896,TOK02,B17624,448,948420.38
TOK,T6583742,TOK10,B06800,130,191214.86
TOK,T6583742,TOK10,B33456,108,115837.80
TOK,T6583742,TOK12,B02116,773,699744.31
TOK,T6583742,TOK12,B33825,243,277992.00
TOK,T6583742,TOK13,B31426,537,906977.38
TOK,T8546671,TOK30,B15481,968,823768.00
TOK,T8546671,TOK31,B14632,195,246618.72
