Desk,Currency,Positions,NV
HK,AUZ,1076.000,1142424.91
HK,HKX,867.000,966768.03
HK,JPX,1674.000,1671449.03
HK,SGX,1829.000,1837811.44
HK,USX,1396.000,1789296.00
LON,CNX,2049.000,1142622.06
LON,JPX,534.000,523601.06
LON,SGX,2619.000,2372636.84
LON,USX,629.000,735301.00
NY,AUZ,2780.000,3040545.64
NY,CNX,802.000,387958.59
NY,HKX,1394.000,1525204.28
NY,JPX,3144.000,3270661.47
NY,SGX,1117.000,711407.72
NY,USX,1731.000,2065737.00
SG,AUZ,442.000,463239.25
SG,CNX,1223.000,1538534.00
SG,HKX,324.000,319721.31
SG,JPX,979.000,1012170.62
SG,SGX,1584.000,1475675.09
SYD,AUZ,836.000,1734982.88
SYD,CNX,283.000,181402.59
SYD,USX,684.000,582084.00
TOK,AUZ,2120.000,2909844.30
TOK,CNX,836.000,553430.81
TOK,HKX,764.000,682402.47
TOK,JPX,1891.000,1856090.31
TOK,SGX,1570.000,1433229.07
TOK,USX,1890.000,1904981.00
